repository,topic,review_status
01virex/dsh-status-rotator,dsh-plugin,verified_plugin
030611/dsh-telemetry-redactor,deepseek-harness|dsh-plugin,verified_plugin
030611/dsh-verification-receipt,deepseek-harness|dsh-plugin,verified_plugin
030611/qiushi-dsh-evidence-audit,deepseek-harness|dsh-plugin,verified_plugin
0sour/dsh-plugins,deepseek-harness|dsh-plugin,watchlist
0xsline/awesome-deepseek-harness,dsh-plugin,related
0xsline/dsh-spotlight,dsh-plugin,verified_plugin
121103qwq/dsh-vision-sidecar,deepseek-harness|dsh-plugin,verified_plugin
147228/dsh-black-whale,deepseek-harness|dsh-plugin,verified_plugin
147228/dsh-xiaoyao-skins,deepseek-harness|dsh-plugin,verified_plugin
1475505/dsh-plugin-miliastra-toolbox,dsh-plugin,verified_plugin
1514100951/dsh-usage-footer,dsh-plugin,verified_plugin
15828148/dsh-portable-launcher,dsh-plugin,watchlist
1690834643/dsh-usage-dashboard,dsh-plugin,verified_plugin
1a125/dsh-mcp-manager,dsh-plugin,verified_plugin
1helloman1/dsh-stats-dashboard,dsh-plugin,verified_plugin
1na-ko/dsh-hdc-bridge,dsh-plugin,verified_plugin
1while1/dsh-whale-subagent,deepseek-harness|dsh-plugin,watchlist
202411130091-coder/codex-dsh-bridge,deepseek-harness,rejected
202411130091-coder/dsh-chatgpt-subscription,deepseek-harness,rejected
202411130091-coder/dsh-scholar,deepseek-harness,verified_plugin
2031814001yuyue-tech/dsh-side-chat,deepseek-harness|dsh-plugin,verified_plugin
2303572348/deepseek-harness-memory,dsh-plugin,verified_plugin
237229953-create/dsh-vision,deepseek-harness|dsh-plugin,verified_plugin
2436238575/dsh-turn-diff,dsh-plugin,verified_plugin
318197375/dsh-bottom-stats,dsh-plugin,verified_plugin
384961890-ui/pawin-brain-deepseek-harness,dsh-plugin,verified_plugin
54xuu/my-dsh,deepseek-harness,rejected
918154429/dsh-codex-import,dsh-plugin,verified_plugin
a179-sanae/dsh-code-check,dsh-plugin,verified_plugin
a903067276-rgb/dsh-hud,deepseek-harness|dsh-plugin,verified_plugin
acefun29/dsh-file-mount,deepseek-harness|dsh-plugin,verified_plugin
acidmoon/dizzy-dsh,dsh-plugin,verified_plugin
acosmi/dsh-plugin,deepseek-harness|dsh-plugin,verified_plugin
acosmi/dsh-session-supervisor,deepseek-harness|dsh-plugin,verified_plugin
AdamPlatin123/awesome-dsh-plugins,dsh-plugin,related
AdamPlatin123/dsh-tonghuashun,dsh-plugin,verified_plugin
aeanfx/dsh-plugin-dated-folders,dsh-plugin,verified_plugin
agent-plaza/agent-plaza,dsh-plugin,verified_plugin
agentic-control-plane/dsh-acp-plugin,deepseek-harness|dsh-plugin,verified_plugin
aidenwu0209/dsh-paddleocr-skills,deepseek-harness|dsh-plugin,verified_plugin
aimfllyys/dsh-operating-context,deepseek-harness|dsh-plugin,verified_plugin
akira399/dsh-godot-skill,deepseek-harness|dsh-plugin,verified_plugin
akira399/dsh-plugin-publisher,deepseek-harness|dsh-plugin,verified_plugin
akqwpeter-prog/dsh-media-skills,deepseek-harness|dsh-plugin,verified_plugin
alaliqing/claude-paper,dsh-plugin,rejected
alephcasara/deepseek-harness-nix,deepseek-harness,rejected
Alex-Yanggg/awesome-DSH-plugin,dsh-plugin,related
alexis-fish/dsh-projects,deepseek-harness|dsh-plugin,verified_plugin
alexis-fish/dsh-worktrees,deepseek-harness|dsh-plugin,verified_plugin
ali-meoo/meoo-cli,dsh-plugin,rejected
alingalingling/ui-status-label,dsh-plugin,verified_plugin
alison-xx/deepseek-harness-flow,deepseek-harness|dsh-plugin,verified_plugin
allencx/dsh-quant-workspace,dsh-plugin,verified_plugin
alliottech/deepseek-harness-docker,deepseek-harness|dsh-plugin,related
aloneswork/deepseek-harness-codex-bridge,deepseek-harness|dsh-plugin,rejected
alooshxl/dsh-session-pins,deepseek-harness|dsh-plugin,verified_plugin
alowensoul/dsh-rag-kb,deepseek-harness,watchlist
Alyosha28/deep_option,dsh-plugin,verified_plugin
amap-ml/longhorizon-harness,deepseek-harness,rejected
amatsumeakira/opencode-usage,dsh-plugin,verified_plugin
amengclass/dsh-memory,deepseek-harness|dsh-plugin,verified_plugin
amethystluna/embedded-workbench,deepseek-harness|dsh-plugin,verified_plugin
amethystluna/logicprobe,deepseek-harness|dsh-plugin,verified_plugin
AnacondaKC/dsh-custom-css,dsh-plugin,verified_plugin
AnacondaKC/dsh-douyin,dsh-plugin,verified_plugin
AnacondaKC/dsh-stock-market,dsh-plugin,verified_plugin
andiven/dsh-messaging,deepseek-harness|dsh-plugin,verified_plugin
Andy8647/dsh-auto-approval,dsh-plugin,verified_plugin
ang-xwbwz/dsh-approval-ai,deepseek-harness|dsh-plugin,verified_plugin
ang-xwbwz/pwiki,deepseek-harness|dsh-plugin,rejected
angeloszou/graphlint,dsh-plugin,verified_plugin
Anionex/agent-vision-toolkit,dsh-plugin,watchlist
Anionex/dsh-computer-use,dsh-plugin,verified_plugin
Anionex/dsh-turn-rewind,dsh-plugin,verified_plugin
Anionex/dsh-vision-toolkit,dsh-plugin,verified_plugin
anweat/dsh-plugin-dev-guide,deepseek-harness|dsh-plugin,rejected
anweat/dsh-web-search-pro,dsh-plugin,verified_plugin
aprilwizard/dsh-multi-cot,dsh-plugin,verified_plugin
arcmosin/dsh-wordbox,deepseek-harness|dsh-plugin,verified_plugin
areium/dsh-fail-logger,deepseek-harness|dsh-plugin,verified_plugin
arnoldkevin/prismrelay-mcp,deepseek-harness|dsh-plugin,verified_plugin
arrow949/dsh-turn-approval,deepseek-harness|dsh-plugin,verified_plugin
ArtificialNotImbecile/dsh-context-taxonomy,dsh-plugin,rejected
artlatte/industry-aftersales-ai-agent,deepseek-harness,watchlist
aryswisnu/dsh-composition-check,deepseek-harness|dsh-plugin,rejected
aryswisnu/dsh-eval-regression,deepseek-harness|dsh-plugin,verified_plugin
asaiuta/dsh-session-hub,deepseek-harness|dsh-plugin,verified_plugin
asdf17128/dsh-doctor,deepseek-harness|dsh-plugin,verified_plugin
asdf17128/dshp,deepseek-harness|dsh-plugin,rejected
atlascloudai/dsh-atlascloud,deepseek-harness|dsh-plugin,verified_plugin
audrey0976/dsh-desktop-shell,deepseek-harness,rejected
awesome-dsh-plugin/awesome-dsh-plugin,dsh-plugin,related
awesome-dsh-plugin/dsh-find-plugin,deepseek-harness|dsh-plugin,verified_plugin
axiaohungry/dsh-llm-codebuddy,dsh-plugin,verified_plugin
ayase34/gal-view,deepseek-harness|dsh-plugin,verified_plugin
ayuanwong/deepseek-harness-ux,deepseek-harness|dsh-plugin,rejected
babulubobo/dsh-codex-oauth,deepseek-harness|dsh-plugin,verified_plugin
baidd1011/dsh-code-impact,dsh-plugin,verified_plugin
baixinghao/intent-gate,dsh-plugin,verified_skill
baiyun200/dsh-dashboard,deepseek-harness|dsh-plugin,rejected
baiyuscc13724-max/deepseek-harness-desktop,deepseek-harness,rejected
Bandersnatch0x/amber-protocol,dsh-plugin,rejected
bandersnatch0x/design-playbook,dsh-plugin,related
BeAChanger/dsh-openclaw-acp,dsh-plugin,verified_plugin
beants/dsh-trellis,dsh-plugin,verified_plugin
ben7am1n/dsh-browser,dsh-plugin,verified_plugin
ben7am1n/dsh-claude-marketplace,dsh-plugin,verified_plugin
ben7am1n/dsh-deepseek-usage,dsh-plugin,verified_plugin
ben7am1n/dsh-lens-lite,dsh-plugin,verified_plugin
ben7am1n/dsh-mcp-proxy,dsh-plugin,verified_plugin
ben7am1n/dsh-memory,deepseek-harness|dsh-plugin,verified_plugin
ben7am1n/dsh-review-skills,dsh-plugin,verified_plugin
ben7am1n/dsh-security-scan,dsh-plugin,verified_plugin
ben7am1n/dsh-telegram,dsh-plugin,verified_plugin
ben7am1n/dsh-webhook-bridge,dsh-plugin,verified_plugin
benzhoupo/dsh-effort-config,dsh-plugin,verified_plugin
bernardleex526/oh_my_deepseek_harness,deepseek-harness|dsh-plugin,verified_skill
bertonhan/dsh-plugin-installer-pkg,dsh-plugin,verified_plugin
biboyang/dsh-eval-harness,deepseek-harness|dsh-plugin,verified_plugin
biboyang/dsh-im-bridge,dsh-plugin,verified_plugin
bill9109/dsh-101,dsh-plugin,verified_plugin
bill9109/dsh-conversation-share,dsh-plugin,verified_plugin
bill9109/dsh-drag-and-drop,dsh-plugin,verified_plugin
bill9109/dsh-web-ui-notify,dsh-plugin,verified_plugin
bill9109/dsh-webbridge,dsh-plugin,verified_plugin
biociao/dsh-science,dsh-plugin,verified_plugin
bitterSmilezzz/dsh-mac-desktop,dsh-plugin,rejected
bittersmilezzz/dsh-model-selector,deepseek-harness|dsh-plugin,verified_plugin
bitterSmilezzz/dsh-skill-manager,dsh-plugin,verified_plugin
bleed00/dsh-claude-mem,deepseek-harness|dsh-plugin,verified_plugin
blockrunai/dsh-clawrouter,deepseek-harness|dsh-plugin,verified_plugin
blue-a11y/dsh-client-shortcuts,dsh-plugin,verified_plugin
bluecobaltum/dsh-lan-proxy,deepseek-harness|dsh-plugin,verified_plugin
bluewhalei/dsh-verify-gate,dsh-plugin,verified_plugin
bobleer/deepseek-harness-gui,deepseek-harness,related
bobleer/deepseek-harness-plugin-mcp,deepseek-harness|dsh-plugin,verified_plugin
bobleer/deepseek-harness-rust,deepseek-harness,watchlist
bobleer/dsh-acp-for-bitfun,dsh-plugin,verified_plugin
bonexy226/dsh-cost-chip,deepseek-harness|dsh-plugin,verified_plugin
boxeryao/deepseek-harness-tui,dsh-plugin,verified_plugin
bpc-oss/dsh-web-billing,deepseek-harness|dsh-plugin,verified_plugin
bradeGithub/DSH-Plugins-Marketplace,dsh-plugin,verified_plugin
bramblexu/dsh-annotate,deepseek-harness|dsh-plugin,verified_plugin
bramblexu/dsh-prompt-profile,deepseek-harness|dsh-plugin,verified_plugin
bramblexu/dsh-revdiff,deepseek-harness|dsh-plugin,verified_plugin
brittanistrehlowll-oss/dsh-quota-panel,dsh-plugin,verified_plugin
bruc3van/awesome-dsh-plugin,dsh-plugin,related
bruc3van/dsh-desktop,dsh-plugin,related
BruceWu1126/dsh-web-background,dsh-plugin,verified_plugin
bruzwj/liang-saint-slider,deepseek-harness,verified_plugin
btspoony/dsh-advisor,dsh-plugin,verified_plugin
btspoony/mstar-harness,dsh-plugin,verified_plugin
bugmaker2/dsh-plugin-template,dsh-plugin,related
Buyi-wsgzg/dsh-sidechain,dsh-plugin,verified_plugin
byyy-eng/deepseek-harness-file-upload-ocr-plugin,deepseek-harness,verified_plugin
cakeni/harness-pet,deepseek-harness|dsh-plugin,verified_plugin
calderbuild/awesome-deepseek-harness,deepseek-harness,related
canghai666x/dsh-news-plugin,dsh-plugin,verified_plugin
CanglongCl/dsh-web-review,dsh-plugin,verified_plugin
carleo10032/deepseek-harness-mac,deepseek-harness,watchlist
casperkwok/dsh-skill-docx,deepseek-harness,verified_skill
causebefore/dsh-pomodoro,deepseek-harness|dsh-plugin,verified_plugin
cc1252/deepseek-harness-desktop,deepseek-harness,related
cccakeee/awesome-dsh-plugins,deepseek-harness|dsh-plugin,related
ccch1mneyyy/dsh-cc-tui,dsh-plugin,verified_plugin
ccch1mneyyy/dsh-tui,deepseek-harness|dsh-plugin,verified_plugin
ccch1mneyyy/dsh-working-activity,dsh-plugin,verified_plugin
ccmu04/dshdesktop,deepseek-harness,rejected
ccq1/dsh-side-panel,dsh-plugin,verified_plugin
cendaifeng/dsh-learn-everything,dsh-plugin,verified_plugin
cesaryike/dsh-image-to-path,deepseek-harness|dsh-plugin,verified_plugin
ch1bug/dsh-mimo-agent-tools,dsh-plugin,verified_plugin
ch1bug/dsh-wsl-bridge,dsh-plugin,verified_plugin
chadyi/deepseek-harness-guide,deepseek-harness,rejected
chajiuqqq/dsh-claude-theme,dsh-plugin,verified_plugin
chen-001/dsh-chat-width,dsh-plugin,verified_plugin
chen-001/dsh-grok-tui,dsh-plugin,verified_plugin
cheng-nan01/dsh-tool-playwright,dsh-plugin,verified_plugin
chengche106/dsh-web-auto-open,deepseek-harness|dsh-plugin,verified_plugin
chenlaoshiyf/dsh-mcpguard,deepseek-harness|dsh-plugin,rejected
chensheg/knowledge-from-literature-and-bilibili,deepseek-harness|dsh-plugin,watchlist
chenw2759-wq/dsh-easyssh,dsh-plugin,verified_plugin
chenw2759-wq/dsh-plugin-healthcheck,dsh-plugin,verified_plugin
cherryhq/cherry-studio,deepseek-harness,rejected
